hh_id,name,link,sal_min,sal_max,valuta
47242433,Ассистент стоматолога,https://spb.hh.ru/vacancy/47242433?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,120000,150000,KZT
47253881,Агроном - управляющий / младший партнер в агробизнесе,https://spb.hh.ru/vacancy/47253881?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47248835,Оператор по работе с входящими звонками,https://spb.hh.ru/vacancy/47248835?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47255054,Инженер (ведущий инженер)-сметчик,https://spb.hh.ru/vacancy/47255054?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,80000,120000,руб.
47253882,Агроном - управляющий агропредприятием,https://spb.hh.ru/vacancy/47253882?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47245670,Руководитель товарного склада,https://spb.hh.ru/vacancy/47245670?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47246828,Руководитель отдела оценки и судебных экономических экспертиз,https://spb.hh.ru/vacancy/47246828?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47163426,DevOps Enginner,https://spb.hh.ru/vacancy/47163426?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47156945,Инженер-проектировщик,https://spb.hh.ru/vacancy/47156945?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,60000,100000,руб.
47159731,Инженер по качеству данных,https://spb.hh.ru/vacancy/47159731?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46222999,Back-end Developer (Node/Java/Python),https://spb.hh.ru/vacancy/46222999?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47169817,Golang Developer,https://spb.hh.ru/vacancy/47169817?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,300000,330000,руб.
47165755,Golang developer,https://spb.hh.ru/vacancy/47165755?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,250000,300000,руб.
46223239,Java-разработчик,https://spb.hh.ru/vacancy/46223239?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46222472,Front-end Developer (Vue.js),https://spb.hh.ru/vacancy/46222472?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47264949,Модель в шоу-рум,https://spb.hh.ru/vacancy/47264949?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47083118,Модель на выставку обуви,https://spb.hh.ru/vacancy/47083118?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46778500,Букер Модельного Агентства,https://spb.hh.ru/vacancy/46778500?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,50000,100000,руб.
47196260,Модельный скаут,https://spb.hh.ru/vacancy/47196260?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47173218,Фотомодель,https://spb.hh.ru/vacancy/47173218?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,300000,1000000,KZT
47146371,Модель,https://spb.hh.ru/vacancy/47146371?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
45944282,Модель,https://spb.hh.ru/vacancy/45944282?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46762030,Модель для примерки изделий,https://spb.hh.ru/vacancy/46762030?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46596688,Модель в агентство JQ models management,https://spb.hh.ru/vacancy/46596688?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46869957,Модель,https://spb.hh.ru/vacancy/46869957?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,40000,70000,руб.
47293340,Дизайнер-модельер,https://spb.hh.ru/vacancy/47293340?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47297487,Дизайнер одежды (Дизайнер костюма),https://spb.hh.ru/vacancy/47297487?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46672643,Продавец-стилист в мужской бутик одежды (luxury),https://spb.hh.ru/vacancy/46672643?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,20000,50000,грн.
46672644,Продавец-стилист в мужской бутик одежды (luxury),https://spb.hh.ru/vacancy/46672644?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,20000,50000,грн.
46672645,Продавец-стилист в мужской бутик одежды (luxury),https://spb.hh.ru/vacancy/46672645?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,20000,50000,грн.
46672647,Продавец-стилист в мужской бутик одежды (luxury),https://spb.hh.ru/vacancy/46672647?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,20000,50000,грн.
46672654,Продавец-стилист в мужской бутик одежды (luxury),https://spb.hh.ru/vacancy/46672654?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,20000,50000,грн.
46672656,Продавец-стилист в мужской бутик одежды (luxury),https://spb.hh.ru/vacancy/46672656?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,20000,50000,грн.
46672659,Продавец-стилист в мужской бутик одежды (luxury),https://spb.hh.ru/vacancy/46672659?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,20000,50000,грн.
46672672,Продавец-стилист в мужской бутик одежды (luxury),https://spb.hh.ru/vacancy/46672672?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,20000,50000,грн.
46672677,Продавец-стилист в мужской бутик одежды (luxury),https://spb.hh.ru/vacancy/46672677?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,20000,50000,грн.
46672683,Продавец-стилист в мужской бутик одежды (luxury),https://spb.hh.ru/vacancy/46672683?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,20000,50000,грн.
46672687,Продавец-стилист в мужской бутик одежды (luxury),https://spb.hh.ru/vacancy/46672687?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,20000,50000,грн.
46672693,Продавец-стилист в мужской бутик одежды (luxury),https://spb.hh.ru/vacancy/46672693?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,20000,50000,грн.
46672704,Продавец-стилист в мужской бутик одежды (luxury),https://spb.hh.ru/vacancy/46672704?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,20000,50000,грн.
46672710,Продавец-стилист в мужской бутик одежды (luxury),https://spb.hh.ru/vacancy/46672710?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,20000,50000,грн.
46672715,Продавец-стилист в мужской бутик одежды (luxury),https://spb.hh.ru/vacancy/46672715?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,20000,50000,грн.
46672722,Продавец-стилист в мужской бутик одежды (luxury),https://spb.hh.ru/vacancy/46672722?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,20000,50000,грн.
46672725,Продавец-стилист в мужской бутик одежды (luxury),https://spb.hh.ru/vacancy/46672725?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,20000,50000,грн.
